,Unnamed: 0,geo_name,date,vessel_type,num_ships
25,25,Port Klang,2020-09-01,Tanker,1
26,26,Port Klang,2020-09-27,Tanker,2
27,27,Port Klang,2020-09-16,Tanker,3
28,28,Port Klang,2020-09-22,Cargo,3
29,29,Port Klang,2020-09-26,Cargo,4
30,30,Port Klang,2020-09-21,Cargo,1
31,31,Port Klang,2020-09-12,Tanker,2
32,32,Port Klang,2020-09-19,Cargo,2
33,33,Port Klang,2020-09-07,Tanker,2
34,34,Port Klang,2020-09-30,Tanker,1
35,35,Port Klang,2020-09-24,Cargo,2
36,36,Port Klang,2020-09-18,Cargo,2
37,37,Port Klang,2020-09-26,Tanker,2
38,38,Port Klang,2020-09-06,Cargo,2
39,39,Port Klang,2020-09-08,Tanker,1
40,40,Port Klang,2020-09-14,Cargo,1
41,41,Port Klang,2020-09-14,Tanker,1
42,42,Port Klang,2020-09-29,Cargo,2
43,43,Port Klang,2020-09-19,Tanker,3
44,44,Port Klang,2020-09-01,Cargo,3
45,45,Port Klang,2020-09-13,Cargo,4
46,46,Port Klang,2020-09-13,Tanker,1
47,47,Port Klang,2020-09-16,Cargo,3
48,48,Port Klang,2020-09-18,Tanker,2
49,49,Port Klang,2020-09-06,Tanker,1
50,50,Port Klang,2020-09-09,Cargo,1
51,51,Port Klang,2020-09-03,Tanker,1
52,52,Port Klang,2020-09-10,Tanker,3
0,0,Port Klang,2020-10-10,Cargo,1
1,1,Port Klang,2020-10-18,Cargo,4
2,2,Port Klang,2020-10-08,Cargo,4
3,3,Port Klang,2020-10-10,Tanker,1
4,4,Port Klang,2020-10-11,Cargo,1
5,5,Port Klang,2020-10-22,Cargo,5
6,6,Port Klang,2020-10-17,Tanker,5
7,7,Port Klang,2020-10-25,Cargo,4
8,8,Port Klang,2020-10-03,Tanker,2
9,9,Port Klang,2020-10-15,Cargo,2
10,10,Port Klang,2020-10-05,Cargo,3
11,11,Port Klang,2020-10-26,Tanker,2
12,12,Port Klang,2020-10-07,Cargo,3
13,13,Port Klang,2020-10-26,Cargo,3
14,14,Port Klang,2020-10-16,Tanker,2
15,15,Port Klang,2020-10-02,Tanker,1
16,16,Port Klang,2020-10-20,Cargo,3
17,17,Port Klang,2020-10-21,Cargo,3
18,18,Port Klang,2020-10-17,Cargo,5
19,19,Port Klang,2020-10-12,Cargo,2
20,20,Port Klang,2020-10-02,Cargo,2
21,21,Port Klang,2020-10-24,Tanker,4
22,22,Port Klang,2020-10-12,Tanker,1
23,23,Port Klang,2020-10-20,Tanker,2
24,24,Port Klang,2020-10-28,Cargo,1
25,25,Port Klang,2020-10-01,Cargo,4
26,26,Port Klang,2020-10-04,Cargo,1
27,27,Port Klang,2020-10-29,Tanker,1
28,28,Port Klang,2020-10-25,Tanker,1
29,29,Port Klang,2020-10-27,Cargo,2
30,30,Port Klang,2020-10-13,Tanker,2
31,31,Port Klang,2020-10-29,Cargo,3
32,32,Port Klang,2020-10-22,Tanker,2
33,33,Port Klang,2020-10-23,Tanker,1
34,34,Port Klang,2020-10-30,Cargo,1
35,35,Port Klang,2020-10-16,Cargo,6
36,36,Port Klang,2020-10-11,Tanker,2
37,37,Port Klang,2020-10-06,Cargo,2
38,38,Port Klang,2020-10-04,Tanker,1
39,39,Port Klang,2020-10-18,Tanker,5
40,40,Port Klang,2020-10-27,Tanker,1
41,41,Port Klang,2020-10-28,Tanker,3
42,42,Port Klang,2020-10-09,Cargo,1
43,43,Port Klang,2020-10-07,Tanker,4
44,44,Port Klang,2020-10-21,Tanker,2
45,45,Port Klang,2020-10-30,Tanker,4
46,46,Port Klang,2020-10-13,Cargo,6
47,47,Port Klang,2020-10-09,Tanker,2
48,48,Port Klang,2020-10-23,Cargo,4
49,49,Port Klang,2020-10-06,Tanker,2
50,50,Port Klang,2020-10-24,Cargo,3
0,0,Port Klang,2020-11-07,Tanker,2
1,1,Port Klang,2020-11-10,Tanker,2
2,2,Port Klang,2020-11-26,Cargo,3
3,3,Port Klang,2020-11-02,Cargo,1
4,4,Port Klang,2020-11-14,Tanker,2
5,5,Port Klang,2020-11-16,Tanker,2
6,6,Port Klang,2020-11-11,Cargo,5
7,7,Port Klang,2020-11-17,Tanker,1
8,8,Port Klang,2020-11-22,Cargo,3
9,9,Port Klang,2020-11-14,Cargo,1
10,10,Port Klang,2020-11-19,Tanker,1
11,11,Port Klang,2020-11-08,Cargo,1
12,12,Port Klang,2020-11-27,Cargo,1
13,13,Port Klang,2020-11-11,Tanker,2
14,14,Port Klang,2020-11-03,Tanker,1
15,15,Port Klang,2020-11-25,Cargo,2
16,16,Port Klang,2020-11-15,Cargo,2
17,17,Port Klang,2020-11-12,Cargo,2
18,18,Port Klang,2020-11-23,Cargo,2
19,19,Port Klang,2020-11-08,Tanker,3
20,20,Port Klang,2020-11-24,Tanker,1
21,21,Port Klang,2020-11-13,Tanker,1
22,22,Port Klang,2020-11-25,Tanker,6
23,23,Port Klang,2020-11-01,Tanker,1
24,24,Port Klang,2020-11-28,Tanker,5
25,25,Port Klang,2020-11-20,Cargo,2
26,26,Port Klang,2020-11-17,Cargo,1
27,27,Port Klang,2020-11-27,Tanker,2
28,28,Port Klang,2020-11-13,Cargo,5
29,29,Port Klang,2020-11-12,Tanker,1
30,30,Port Klang,2020-11-22,Tanker,3
31,31,Port Klang,2020-11-26,Tanker,1
32,32,Port Klang,2020-11-21,Tanker,1
33,33,Port Klang,2020-11-10,Cargo,1
34,34,Port Klang,2020-11-20,Tanker,1
35,35,Port Klang,2020-11-07,Cargo,4
36,36,Port Klang,2020-11-15,Tanker,5
37,37,Port Klang,2020-11-28,Cargo,3
38,38,Port Klang,2020-11-23,Tanker,2
39,39,Port Klang,2020-11-16,Cargo,2
0,0,Port Klang,2020-12-02,Cargo,2
1,1,Port Klang,2020-12-30,Tanker,2
2,2,Port Klang,2020-12-06,Cargo,1
3,3,Port Klang,2020-12-30,Cargo,2
4,4,Port Klang,2020-12-12,Cargo,1
5,5,Port Klang,2020-12-22,Tanker,1
6,6,Port Klang,2020-12-17,Tanker,1
7,7,Port Klang,2020-12-28,Tanker,2
8,8,Port Klang,2020-12-23,Tanker,1
9,9,Port Klang,2020-12-22,Cargo,1
10,10,Port Klang,2020-12-28,Cargo,2
11,11,Port Klang,2020-12-20,Cargo,1
12,12,Port Klang,2020-12-27,Tanker,1
13,13,Port Klang,2020-12-26,Tanker,2
14,14,Port Klang,2020-12-27,Cargo,2
15,15,Port Klang,2020-12-24,Tanker,1
16,16,Port Klang,2020-12-04,Cargo,1
17,17,Port Klang,2020-12-03,Tanker,1
18,18,Port Klang,2020-12-07,Cargo,1
19,19,Port Klang,2020-12-31,Cargo,1
20,20,Port Klang,2020-12-10,Tanker,1
21,21,Port Klang,2020-12-25,Cargo,2
22,22,Port Klang,2020-12-29,Tanker,3
23,23,Port Klang,2020-12-25,Tanker,3
